precision,recall,accuracy,AP,AUC,CLL,HR
,,,,,,
cora_new_semi_ind,,,,,,
0.672413793103448,0.699551569506726,0.718562874251497,0.829003635431664,0.755541702695275,-0.6410462,0.98134328358209
ACM_new_semi_ind,,,,,,
0.55919395465995,0.811064718162839,0.598643006263048,0.737086274043015,0.666151374427413,-0.79891557,0.84354628422425
IMDB_new_semi_ind,,,,,,
0.571507352941176,0.993290734824281,0.622683706070288,0.85130590472648,0.855389510967755,-0.71843415,0.902555910543131
citeseer_new_semi_ind,,,,,,
0.698854337152209,0.546035805626598,0.650895140664962,0.748219263176722,0.626519973050935,-0.69584525,0.97444089456869
computers_new_semi_ind,,,,,,
0.879541636284278,0.960616729088639,0.913972534332084,0.975884074211754,0.969791526743256,-0.359435013896104,0.998055555555556
